max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,val_accuracy,val_precision,val_recall,val_f1
,sqrt,4,2,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,sqrt,4,2,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,sqrt,4,2,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,sqrt,4,5,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,sqrt,4,5,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,sqrt,4,5,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,sqrt,4,10,200,0.7356913808181906,0.7478569935187122,0.7026124533490473,0.7245290662345554
,sqrt,4,10,300,0.7354970362452629,0.7470281543274244,0.703594578668238,0.7246611369613595
,sqrt,4,10,400,0.7346224856670878,0.7455264253017062,0.7037910037320763,0.7240577952915025
,log2,1,2,200,0.7115926537751434,0.7131954207672223,0.6975054016892556,0.7052631578947368
,log2,1,2,300,0.7122728597803907,0.7131705364291433,0.6998625024553133,0.7064538514920194
,log2,1,2,400,0.7138276163638131,0.7145141943222711,0.7020231781575329,0.7082136133954225
,log2,1,5,200,0.722670294432028,0.726096624216697,0.7055588293066195,0.7156804144251843
,log2,1,5,300,0.7215042269944612,0.7246113466585907,0.7049695541151051,0.7146555157307846
,log2,1,5,400,0.7227674667184919,0.7256958450988302,0.7067373796896484,0.7160911533485919
,log2,1,10,200,0.7295695267709649,0.7358953393295176,0.7071302298173247,0.7212260843433838
,log2,1,10,300,0.7292780099115732,0.73602293671923,0.7059516794342958,0.7206737517545618
,log2,1,10,400,0.7286949761927898,0.7358916478555305,0.7043802789235907,0.7197912484945805
,log2,2,2,200,0.7289864930521816,0.7364420706655711,0.7041838538597525,0.7199518023897982
,log2,2,2,300,0.7291808376251093,0.7361623616236163,0.7053624042427814,0.7204333433644298
,log2,2,2,400,0.7295695267709649,0.7364754098360655,0.7059516794342958,0.7208905826898004
,log2,2,5,200,0.7308327664949956,0.739327696432254,0.7041838538597525,0.721327967806841
,log2,2,5,300,0.730541249635604,0.738772146683148,0.7043802789235907,0.7211664152840623
,log2,2,5,400,0.7299582159168205,0.7377622377622378,0.7045767039874288,0.7207877022003416
,log2,2,10,200,0.734330968807696,0.7437435367114787,0.7063445295619721,0.7245617570018135
,log2,2,10,300,0.7330677290836654,0.7428512225445504,0.7041838538597525,0.7230009075325199
,log2,2,10,400,0.7332620736565931,0.743058433485288,0.7043802789235907,0.7232025814258344
,log2,4,2,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,log2,4,2,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,log2,4,2,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,log2,4,5,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,log2,4,5,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,log2,4,5,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,log2,4,10,200,0.7356913808181906,0.7478569935187122,0.7026124533490473,0.7245290662345554
,log2,4,10,300,0.7354970362452629,0.7470281543274244,0.703594578668238,0.7246611369613595
,log2,4,10,400,0.7346224856670878,0.7455264253017062,0.7037910037320763,0.7240577952915025
